"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2021","2022","2023","2024"
"IMF.STA:BOP_AGG(9.0.1)","LBN.CAB_NETCD.USD.A","OBS_VALUE","Lebanon","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-4556.48655934926","-7264.68521536826","-5642.82913273833",""
"IMF.STA:BOP_AGG(9.0.1)","VUT.CAB_NETCD.USD.A","OBS_VALUE","Vanuatu","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-75.4509882347246","-127.431932031587","",""
"IMF.STA:BOP_AGG(9.0.1)","MDG.CAB_NETCD.USD.A","OBS_VALUE","Madagascar, Republic of","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-721.952769507482","-829.376077579735","",""
"IMF.STA:BOP_AGG(9.0.1)","FJI.CAB_NETCD.USD.A","OBS_VALUE","Fiji, Republic of","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-686.576959090778","-865.665340875025","",""
"IMF.STA:BOP_AGG(9.0.1)","SDN.CAB_NETCD.USD.A","OBS_VALUE","Sudan","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-2620.16303962365","-4442.78266337911","",""
"IMF.STA:BOP_AGG(9.0.1)","SSD.CAB_NETCD.USD.A","OBS_VALUE","South Sudan, Republic of","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-6.55000000000018","-596.7483","577.9",""
"IMF.STA:BOP_AGG(9.0.1)","COM.CAB_NETCD.USD.A","OBS_VALUE","Comoros, Union of the","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-4.075858927367423","-5.248034752438982","-24.62142095498304",""
"IMF.STA:BOP_AGG(9.0.1)","COG.CAB_NETCD.USD.A","OBS_VALUE","Congo, Republic of","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","1715.90687916984","","",""
"IMF.STA:BOP_AGG(9.0.1)","LBR.CAB_NETCD.USD.A","OBS_VALUE","Liberia","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-101.746128306768","64.8062898735972","",""
"IMF.STA:BOP_AGG(9.0.1)","MHL.CAB_NETCD.USD.A","OBS_VALUE","Marshall Islands, Republic of the","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","76.2628092970485","","",""
"IMF.STA:BOP_AGG(9.0.1)","CUW.CAB_NETCD.USD.A","OBS_VALUE","Curaçao, Kingdom of the Netherlands","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-508.758155424581","-822.666741608939","-654.687752837989",""
"IMF.STA:BOP_AGG(9.0.1)","SXM.CAB_NETCD.USD.A","OBS_VALUE","Sint Maarten, Kingdom of the Netherlands","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-311.462825977654","-56.983757150838","-116.69286001676",""
"IMF.STA:BOP_AGG(9.0.1)","KGZ.CAB_NETCD.USD.A","OBS_VALUE","Kyrgyz Republic","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-737.695886572616","-5179.6295372137","",""
"IMF.STA:BOP_AGG(9.0.1)","TZA.CAB_NETCD.USD.A","OBS_VALUE","Tanzania, United Republic of","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-2374.282691249715","-5482.21643541329","-2960.580250415938","-2379.788231367504"
